production_day,station_id,station_name,oee_pct,availability_pct,performance_pct,quality_pct,defect_rate_pct,downtime_minutes,mtbf_hours,mttr_hours,anomaly_score,is_anomaly
2026-01-07,3,HDR-MLD-L01-02,18.91,20.35,99.86,93.02,0.0,15.3,0.0,0.0,-0.06742597474135947,True
2026-01-07,3,HDR-MLD-L01-02,18.91,20.35,99.86,93.02,0.0,41.87,0.0,0.0,-0.07125322586710714,True
2026-01-07,3,HDR-MLD-L01-02,18.91,20.35,99.86,93.02,0.0,43.42,0.0,0.0,-0.0714780461922615,True
2026-01-07,3,HDR-MLD-L01-02,18.91,20.35,99.86,93.02,0.0,36.45,0.0,0.0,-0.06624133528179965,True
2026-02-19,3,HDR-MLD-L01-02,31.88,33.47,99.57,95.66,0.0,91.8,0.0,0.0,-0.06520101157541225,True
2026-02-19,3,HDR-MLD-L01-02,31.88,33.47,99.57,95.66,0.0,11.02,0.0,0.0,-0.03512503904264075,True
2026-02-19,3,HDR-MLD-L01-02,31.88,33.47,99.57,95.66,0.0,28.35,0.0,0.0,-0.020293844076385126,True
2026-02-19,3,HDR-MLD-L01-02,31.88,33.47,99.57,95.66,0.0,23.52,0.0,0.0,-0.025050747054422673,True
2026-02-19,3,HDR-MLD-L01-02,31.88,33.47,99.57,95.66,0.0,95.07,0.0,0.0,-0.06766095013201756,True
2026-03-12,9,SFX-PLM-PROG-01,45.16,48.87,99.56,92.82,0.0,158.07,0.0,0.0,-0.019573890535700356,True
2026-02-25,9,SFX-PLM-PROG-01,24.41,26.27,99.87,93.04,0.0,13.08,0.0,0.0,-0.05842361289737763,True
2026-02-25,9,SFX-PLM-PROG-01,24.41,26.27,99.87,93.04,0.0,35.85,0.0,0.0,-0.05419852867567676,True
2026-02-25,9,SFX-PLM-PROG-01,24.41,26.27,99.87,93.04,0.0,41.67,0.0,0.0,-0.060838670275638274,True
2026-04-15,9,SFX-PLM-PROG-01,90.03,100.0,99.6,90.39,0.0,126.15,0.0,0.0,-0.04072075181359602,True
2026-01-15,9,SFX-PLM-PROG-01,41.23,43.71,99.54,94.77,0.0,84.05,0.0,0.0,-0.020720587433037507,True
2026-01-27,9,SFX-PLM-PROG-01,93.93,100.0,99.56,94.34,0.0,125.18,0.0,0.0,-0.06465265447697655,True
2026-03-16,9,SFX-PLM-PROG-01,47.35,52.82,99.37,90.22,0.0,89.07,0.0,0.0,-0.01002163392271338,True
